[00:09:25] [main/INFO]: Loading Minecraft 1.20.1 with Fabric Loader 0.16.3
[00:09:25] [main/INFO]: Loading 4 mods:
	- fabricloader 0.16.3
	   \-- mixinextras 0.4.1
	- java 17
	- minecraft 1.20.1
[00:09:25] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.7 Source=file:/workspaces/server/servidor_minecraft/libraries/net/fabricmc/sponge-mixin/0.15.2+mixin.0.8.7/sponge-mixin-0.15.2+mixin.0.8.7.jar Service=Knot/Fabric Env=SERVER
[00:09:30] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[00:09:31] [main/INFO]: Loaded 7 recipes
[00:09:32] [main/INFO]: Loaded 1271 advancements
[00:09:32] [Server thread/INFO]: Starting minecraft server version 1.20.1
[00:09:32] [Server thread/INFO]: Loading properties
[00:09:32] [Server thread/INFO]: Default game type: SURVIVAL
[00:09:32] [Server thread/INFO]: Generating keypair
[00:09:32] [Server thread/INFO]: Starting Minecraft server on *:25565
[00:09:32] [Server thread/INFO]: Using epoll channel type
[00:09:32] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[00:09:32] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[00:09:32] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[00:09:32] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[00:09:32] [Server thread/INFO]: Preparing level "world"
[00:09:37] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[00:09:38] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:09:38] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:09:38] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:09:39] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:09:39] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[00:09:40] [Worker-Main-3/INFO]: Preparing spawn area: 1%
[00:09:40] [Worker-Main-3/INFO]: Preparing spawn area: 3%
[00:09:41] [Worker-Main-3/INFO]: Preparing spawn area: 4%
[00:09:41] [Worker-Main-1/INFO]: Preparing spawn area: 6%
[00:09:42] [Worker-Main-1/INFO]: Preparing spawn area: 7%
[00:09:42] [Worker-Main-2/INFO]: Preparing spawn area: 9%
[00:09:43] [Worker-Main-2/INFO]: Preparing spawn area: 12%
[00:09:43] [Worker-Main-2/INFO]: Preparing spawn area: 15%
[00:09:44] [Worker-Main-1/INFO]: Preparing spawn area: 15%
[00:09:44] [Worker-Main-2/INFO]: Preparing spawn area: 18%
[00:09:45] [Worker-Main-3/INFO]: Preparing spawn area: 20%
[00:09:45] [Worker-Main-2/INFO]: Preparing spawn area: 22%
[00:09:46] [Worker-Main-3/INFO]: Preparing spawn area: 25%
[00:09:46] [Worker-Main-3/INFO]: Preparing spawn area: 27%
[00:09:47] [Worker-Main-3/INFO]: Preparing spawn area: 30%
[00:09:47] [Worker-Main-2/INFO]: Preparing spawn area: 33%
[00:09:48] [Worker-Main-2/INFO]: Preparing spawn area: 36%
[00:09:48] [Worker-Main-3/INFO]: Preparing spawn area: 38%
[00:09:49] [Worker-Main-1/INFO]: Preparing spawn area: 42%
[00:09:49] [Worker-Main-1/INFO]: Preparing spawn area: 45%
[00:09:50] [Worker-Main-2/INFO]: Preparing spawn area: 49%
[00:09:50] [Worker-Main-1/INFO]: Preparing spawn area: 53%
[00:09:51] [Worker-Main-2/INFO]: Preparing spawn area: 55%
[00:09:51] [Worker-Main-3/INFO]: Preparing spawn area: 59%
[00:09:52] [Worker-Main-1/INFO]: Preparing spawn area: 62%
[00:09:53] [Worker-Main-2/INFO]: Preparing spawn area: 64%
[00:09:53] [Worker-Main-3/INFO]: Preparing spawn area: 64%
[00:09:53] [Worker-Main-1/INFO]: Preparing spawn area: 67%
[00:09:54] [Worker-Main-3/INFO]: Preparing spawn area: 69%
[00:09:54] [Worker-Main-2/INFO]: Preparing spawn area: 72%
[00:09:55] [Worker-Main-3/INFO]: Preparing spawn area: 75%
[00:09:55] [Worker-Main-2/INFO]: Preparing spawn area: 79%
[00:09:56] [Worker-Main-1/INFO]: Preparing spawn area: 83%
[00:09:56] [Worker-Main-2/INFO]: Preparing spawn area: 86%
[00:09:57] [Worker-Main-3/INFO]: Preparing spawn area: 89%
[00:09:57] [Worker-Main-3/INFO]: Preparing spawn area: 93%
[00:09:58] [Worker-Main-2/INFO]: Preparing spawn area: 96%
[00:09:58] [Server thread/INFO]: Time elapsed: 20856 ms
[00:09:58] [Server thread/INFO]: Done (26.098s)! For help, type "help"
